ID,jempty,jfresh,jdry
2,127.55,170.56,148.59
3,129.30,176.47,158.77
4,122.91,158.08,140.46
17,126.70,175.15,156.14
18,124.33,176.65,157.78
19,123.93,162.64,143.07
20,127.68,174.13,152.22
29,128.07,190.17,158.16
30,123.21,169.33,147.44
31,123.19,179.26,160.89
32,123.65,166.63,142.35
49,122.95,177.39,152.77
50,127.17,182.29,157.90
51,122.30,160.71,138.65
52,123.81,176.90,150.95
61,125.75,177.39,158.89
62,126.24,183.02,160.17
63,125.58,173.90,148.73
64,123.21,172.23,150.53
69,127.98,175.85,149.58
70,128.53,173.92,157.40
71,127.83,173.22,150.11
72,122.81,174.20,148.47
60,127.33,182.59,164.40
44,127.01,171.56,154.46
85,122.01,173.29,157.90
56,123.59,178.69,159.36
86,126.82,188.42,168.29
41,125.19,171.90,155.35
54,126.36,176.41,159.31
43,123.23,173.08,151.52
58,122.11,191.35,167.42
53,122.53,175.65,155.68
87,122.84,192.17,171.87
59,123.90,174.77,159.84
55,123.44,183.76,162.35
42,129.79,176.32,160.63
